Zeitstempel;"Verbrauch Gebaeude 1 Etage 0 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 0 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 1 Strom
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 1 Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2  Strom
Verbrauchswert (Wh)";"Verbrauch Gebaeude 1 Etage 2  Strom
 Werttyp";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
Verbrauchswert (kWh)";"Verbrauch Gebaeude 1 Etage 2 Strom (Mieter)
 Werttyp";
Sa., 19.Apr. 2014 20:00;0,2;;0,4;;2630;;2,49;;
Sa., 19.Apr. 2014 20:15;0,14;;0,39;;2660;;2,48;;
Sa., 19.Apr. 2014 20:30;0,14;;0,42;;2640;;2,51;;
Sa., 19.Apr. 2014 20:45;0,14;;0,43;;2640;;2,49;;
Sa., 19.Apr. 2014 21:00;0,19;;0,44;;2620;;2,48;;
Sa., 19.Apr. 2014 21:15;0,2;;0,43;;2710;;2,49;;
Sa., 19.Apr. 2014 21:30;0,16;;0,4;;2660;;2,48;;
Sa., 19.Apr. 2014 21:45;0,15;;0,39;;2630;;2,49;;
Sa., 19.Apr. 2014 22:00;0,14;;0,41;;2640;;2,48;;
Sa., 19.Apr. 2014 22:15;0,14;;0,48;;2660;;2,48;;
Sa., 19.Apr. 2014 22:30;0,18;;0,43;;2650;;2,49;;
Sa., 19.Apr. 2014 22:45;0,19;;0,41;;2640;;2,49;;
Sa., 19.Apr. 2014 23:00;0,14;;0,39;;2630;;2,51;;
Sa., 19.Apr. 2014 23:15;0,14;;0,42;;2630;;2,49;;
Sa., 19.Apr. 2014 23:30;0,14;;0,4;;2650;;2,48;;
Sa., 19.Apr. 2014 23:45;0,16;;0,42;;2630;;2,49;;
So., 20.Apr. 2014 00:00;0,19;;0,42;;2640;;2,46;;
So., 20.Apr. 2014 00:15;0,14;;0,42;;2630;;2,52;;
So., 20.Apr. 2014 00:30;0,14;;0,4;;2670;;2,48;;
So., 20.Apr. 2014 00:45;0,14;;0,4;;2640;;2,49;;
So., 20.Apr. 2014 01:00;0,16;;0,39;;2610;;2,49;;
So., 20.Apr. 2014 01:15;0,17;;0,42;;2660;;2,49;;
So., 20.Apr. 2014 01:30;0,18;;0,44;;2610;;2,48;;
So., 20.Apr. 2014 01:45;0,14;;0,42;;2600;;2,48;;
So., 20.Apr. 2014 02:00;0,14;;0,41;;2580;;2,48;;
So., 20.Apr. 2014 02:15;0,15;;0,41;;2600;;2,5;;
So., 20.Apr. 2014 02:30;0,15;;0,39;;2620;;2,49;;
So., 20.Apr. 2014 02:45;0,16;;0,43;;2630;;2,48;;
So., 20.Apr. 2014 03:00;0,18;;0,42;;2600;;2,48;;
So., 20.Apr. 2014 03:15;0,14;;0,42;;2600;;2,49;;
So., 20.Apr. 2014 03:30;0,15;;0,42;;2620;;2,48;;
So., 20.Apr. 2014 03:45;0,16;;0,4;;2610;;2,49;;
So., 20.Apr. 2014 04:00;0,14;;0,46;;2610;;2,48;;
So., 20.Apr. 2014 04:15;0,19;;0,43;;2680;;2,48;;
So., 20.Apr. 2014 04:30;0,14;;0,4;;2600;;2,51;;
So., 20.Apr. 2014 04:45;0,14;;0,42;;2590;;2,48;;
So., 20.Apr. 2014 05:00;0,16;;0,42;;2630;;2,48;;
So., 20.Apr. 2014 05:15;0,14;;0,41;;2600;;2,48;;
So., 20.Apr. 2014 05:30;0,19;;0,4;;2680;;2,48;;
So., 20.Apr. 2014 05:45;0,14;;0,39;;2570;;2,48;;
So., 20.Apr. 2014 06:00;0,13;;0,39;;2590;;2,48;;
So., 20.Apr. 2014 06:15;0,23;;0,43;;2590;;2,48;;
So., 20.Apr. 2014 06:30;0,22;;0,42;;2580;;2,49;;
So., 20.Apr. 2014 06:45;0,2;;0,41;;2620;;2,48;;
So., 20.Apr. 2014 07:00;0,2;;0,39;;2590;;2,47;;
So., 20.Apr. 2014 07:15;0,24;;0,4;;2590;;2,5;;
So., 20.Apr. 2014 07:30;0,22;;0,43;;2620;;2,48;;
So., 20.Apr. 2014 07:45;0,22;;0,41;;2630;;2,48;;
So., 20.Apr. 2014 08:00;0,2;;0,42;;2600;;2,48;;
So., 20.Apr. 2014 08:15;0,2;;0,42;;2600;;2,49;;
So., 20.Apr. 2014 08:30;0,27;;0,42;;2590;;2,48;;
So., 20.Apr. 2014 08:45;0,24;;0,39;;2580;;2,48;;
So., 20.Apr. 2014 09:00;0,22;;0,4;;2620;;2,48;;
So., 20.Apr. 2014 09:15;0,19;;0,39;;2600;;2,48;;
So., 20.Apr. 2014 09:30;0,2;;0,43;;2600;;2,48;;
So., 20.Apr. 2014 09:45;0,2;;0,42;;2590;;2,47;;
So., 20.Apr. 2014 10:00;0,24;;0,41;;2620;;2,5;;
So., 20.Apr. 2014 10:15;0,22;;0,39;;2590;;2,48;;
So., 20.Apr. 2014 10:30;0,2;;0,46;;2630;;2,48;;
So., 20.Apr. 2014 10:45;0,2;;0,41;;2600;;2,48;;
